"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @InfoMetahash: 🔥ZERO fee everyday realtime shopping w/crypto: https://t.co/cxRbJWX2tK, NFTs, tokens, smartC, decentralized apps (exchang…",FALSE,0,NA,2021-09-27 04:51:33,FALSE,NA,"1442351179413876741",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","unluckymiriego",13517,TRUE,FALSE,NA,NA
"@Zneb_5510 yeah i believe you !00% theres no reason for me to doubt that you did not zoom in cuz theres nothing there to see",FALSE,0,"Zneb_5510",2021-09-27 04:51:29,FALSE,"1442329763243118602","1442351163735568384","1282340242423345153","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","w_gerbera",0,FALSE,FALSE,NA,NA
"The Latest Trends for eCommerce Website Development in the USA! https://t.co/q0eeZcxNJI… https://t.co/fIDHR7HorW",FALSE,0,NA,2021-09-27 04:51:28,TRUE,NA,"1442351158614323203",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","cwebconsultants",0,FALSE,FALSE,NA,NA
"RT @Youth_TJN: Meet some of our partners for the #TRTs2021 @TOFIUganda @DiakoniaAfrica @OpenSocietyEA @SOTUafrica #YTJN2021 

Registration…",FALSE,0,NA,2021-09-27 04:51:22,FALSE,NA,"1442351134807666690",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","emmyajal",1,TRUE,FALSE,NA,NA
"RT @SeketAanru: It's not social media. It's social money. We have the tools you need to turn your followers into your business. https://t.c…",FALSE,0,NA,2021-09-27 04:51:19,FALSE,NA,"1442351120660140041",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","quibanbradley_",1,TRUE,FALSE,NA,NA
"https://t.co/Qsz9rG6PGh masturbation group",FALSE,0,NA,2021-09-27 04:51:16,FALSE,NA,"1442351109079658501",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","robbertoce",0,FALSE,FALSE,NA,NA
"Here's the link for normies being introduced to NFTs:

Join Zoom Meeting
https://t.co/gqorgJx7EF

Meeting ID: 916 2029 9349
Passcode: z05SPy",FALSE,0,NA,2021-09-27 04:51:08,FALSE,NA,"1442351075600703494",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","EverSoul_",0,FALSE,FALSE,NA,NA
"A last min zoom interview for a new role.. wat a Monday…",FALSE,0,NA,2021-09-27 04:51:08,FALSE,NA,"1442351074229112836",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","prawnmee3",0,FALSE,FALSE,NA,NA
"N505MP, a Mcdonnell Douglas 369-E, is circling over Mesa at 1800 feet, speed 132 MPH, squawking 1200, 0.14 miles fr… https://t.co/Dhv9Id1Om6",FALSE,0,NA,2021-09-27 04:51:04,TRUE,NA,"1442351056797663238",NA,"<a href=\"https://lemondronor.com\" rel=\"nofollow\">Advisory Circular</a>","SkyCirclesPHX",0,FALSE,FALSE,NA,NA
"RT @MarknNiceOfcl: 𝗠𝗻𝗡 𝗦𝗵𝗼𝗽 𝗢𝗳𝗰𝗹 𝗣𝗿𝗶𝗰𝗲𝗹𝗶𝘀𝘁
     𝙰𝚏𝚏𝚘𝚛𝚍𝚊𝚋𝚕𝚎 𝚏𝚘𝚛 𝚊𝚕𝚕

Tags: canva netflix mlbb dias garena shells spotify grammarly cheggstud…",FALSE,0,NA,2021-09-27 04:51:02,FALSE,NA,"1442351050321641473",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","haroosam_",30,TRUE,FALSE,NA,NA
"don't zoom onto his arm at the bottom..... I SAID DON'T https://t.co/1sZMJMabW4",FALSE,0,NA,2021-09-27 04:51:00,FALSE,NA,"1442351039596744706",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ksmcuddless",0,FALSE,FALSE,NA,NA
"@DCypherPup He he my gear spending in 2020 was a little high even though most were just for zoom parties. And one o… https://t.co/KM2b3qO6mB",FALSE,0,"DCypherPup",2021-09-27 04:50:59,TRUE,"1442342348478771202","1442351037617213442","1257672790401970176","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","andsamwal",0,FALSE,FALSE,NA,NA
"RT @WaanjaiArchive: [ZOOM LINK GIVEAWAY]
☀ L’Oreal Elseve &amp; Lotus X Gulf 🌻

📌 W.Archive followers
📌 1 x Winner
📌 Worldwide
📌 RT, LIKE &amp; Rep…",FALSE,0,NA,2021-09-27 04:50:59,FALSE,NA,"1442351035838730255",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mewgulfizreall",170,TRUE,FALSE,NA,NA
"@BearCov Of all the zoom shot eps of TV...that one was the best. Had me in tears.",FALSE,0,"BearCov",2021-09-27 04:50:51,FALSE,"1442329924187013123","1442351004943454208","174714925","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Geekrocker",0,FALSE,FALSE,NA,NA
"Working from home has its perks.
#WorkingFromHome #BotanicalGardens #GreatOutdoors #Nature #Melbourne https://t.co/2MP9uaRDIX",FALSE,1,NA,2021-09-27 04:50:50,FALSE,NA,"1442350999339864070",NA,"<a href=\"http://tapbots.com/tweetbot\" rel=\"nofollow\">Tweetbot for iΟS</a>","myronmy9",0,FALSE,FALSE,NA,NA
"RT @beefcakehowie: let’s hope frenchie and brent are muted on zoom like nicole a on finale night #bb23 https://t.co/yBWimco56g",FALSE,0,NA,2021-09-27 04:50:45,FALSE,NA,"1442350979748302848",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Xx_MiMMiE_xX",20,TRUE,FALSE,NA,NA
"@Michael28485854 True about digital resources. Tons of places to grab information, or have a digital interface like… https://t.co/ZzOIdira2V",FALSE,0,"Michael28485854",2021-09-27 04:50:43,TRUE,"1442340496106561536","1442350969145200641","1441635943803338752","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","AnitaJeanInk",0,FALSE,FALSE,NA,NA
"RT @dayoungjia: zoom if you miss yoon jia https://t.co/zsiYxbiA0v",FALSE,0,NA,2021-09-27 04:50:42,FALSE,NA,"1442350964640399360",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","HOON1HEE",379,TRUE,FALSE,NA,NA
"RT @Xback_Ph: Online Fan Gathering for LAY's Birthday with Official Merch and Love Lay Box as Gift for Lucky Participants
on October 07 fro…",FALSE,0,NA,2021-09-27 04:50:32,FALSE,NA,"1442350924144381954",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","RocketL1485",32,TRUE,FALSE,NA,NA
"Deaf Culture and Arts 

https://t.co/cPYDhx26q1

#DeafSA #SASL12 #NMDP #deafculture https://t.co/Rm2irVXI3F",FALSE,0,NA,2021-09-27 04:50:28,FALSE,NA,"1442350906301845508",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DeafsaInfo",0,FALSE,FALSE,NA,NA
